gfcat_objid,ra,dec,n_gfcat,simbad_id,simbad_otype,simbad_match_offset,simbad_n_match
GFCAT J0105259.3+570049.3,163.2472845001492,57.0136972655264,4,ATO J163.2462+57.0140,EclBin_Candidate,2.252652301871983,1
GFCAT J0105622.5+570520.7,164.09398113214493,57.08908533919743,7,LINEAR 23791415,RRLyrae,2.312984676344609,1
GFCAT J0051659.8-485213.2,79.24927793034853,-48.87035480606809,7,HD 273973,EclBin,1.1926239933455811,1
GFCAT J0051841.8-490714.8,79.67458167438771,-49.120796877402086,1,2MASS J05184173-4907129,"X, Star",2.420968064698505,2
GFCAT J0095801.1+021249.0,149.50483994617113,2.213616476342452,2,XMMU J095800.9+021250,"Galaxy, X",2.3509619952618017,8
GFCAT J0052001.2-490501.8,80.00521521606854,-49.08385213966657,1,Gaia DR3 4797498638798705408,BrownD*_Candidate,2.0370949514519223,1
GFCAT J0095916.2+015046.7,149.81763359496264,1.8463239197841144,1,ACS-GC 20045172,"Galaxy, QSO, AGN, AGN_Candidate",2.979885578060485,15
GFCAT J0051710.0-491425.7,79.29188510779655,-49.24047860767035,1,--,--,--,0
GFCAT J0100133.3+014326.8,150.3891391190865,1.7241314324809323,6,LINEAR 21145823,"Galaxy, EmissionG, RRLyrae",2.4472905740725825,10
GFCAT J0100152.3+021156.8,150.46803125510547,2.1991252430192003,3,2MASS J10015217+0211583,"Galaxy, ClG, Radio, AGN_Candidate, GroupG, Star, AGN",2.5238695762605663,9
GFCAT J0095952.3+024648.1,149.96811487932916,2.7800410156864173,2,LP  549-10,"Galaxy, ClG, Star, AGN",3.083790395586136,2
GFCAT J0095758.9+020501.7,149.49560741034853,2.083823553400393,1,2MASS J09575883+0205036,"Galaxy, QSO, Star, AGN",2.5557696119569533,7
GFCAT J0100019.2+012657.8,150.08004116027485,1.449404594947394,4,[CMC2016] lid  1257,"X, YSO_Candidate",1.8767827051249322,2
GFCAT J0100207.9+022234.6,150.53320582528383,2.376295174232022,2,2MASS J10020785+0222347,"Galaxy, ClG, Radio, BrightestCG, GroupG, Star, AGN",1.4806571676805436,9
GFCAT J0100209.6+020724.9,150.54034778432782,2.123587023613673,1,2MASS J10020956+0207262,"Galaxy, Star",2.319625352015166,19
GFCAT J0100321.8+020325.0,150.84113343833363,2.0569542791320283,1,XMMU J100321.8+020324,"Galaxy, X, HighPM*",0.6620377652698346,3
GFCAT J0100141.7+020757.4,150.42392666906224,2.13262479568746,3,2MASS J10014160+0207588,"Galaxy, EmissionG, Supernova, Radio, AGN, Star",1.8425587249916193,9
GFCAT J0104844.4+581537.1,162.18507319649635,58.26033039826474,6,LINEAR 23444473,RRLyrae,1.7935881136522043,1
GFCAT J0100231.1+015519.1,150.62964124255583,1.9219917335008667,1,2MASS J10023093+0155206,"Galaxy, AGN_Candidate",3.048324154158676,13
GFCAT J0104828.8+585159.3,162.12001277843137,58.86648064250592,1,LP   93-56,"Galaxy, HighPM*",1.2790900249242418,1
GFCAT J0123512.8+621743.9,188.8036593520012,62.29553336858154,1,SDSS J123512.63+621745.1,"Radio, Star",2.0496967603012077,3
GFCAT J0102339.9+023929.7,155.9166176719679,2.658255827519114,1,2MASS J10233990+0239314,"Radio, Low-Mass*",2.2268596563232848,1
GFCAT J0104648.3-002838.7,161.70150293171702,-0.4774173826655373,1,--,--,--,0
GFCAT J0130935.0+285904.1,197.39585847903555,28.98448672967792,2,G 164-47,"Eruptive*, Star",2.068944912611047,1
GFCAT J0114740.8-001521.4,176.9201454834176,0.2559690511342505,1,G  10-49,"Galaxy, Eruptive*, AGN",1.9122049144190418,1
GFCAT J0114939.4-003510.9,177.4144792152697,0.586372913907587,1,2MASS J11493943+0035100,"Galaxy, Star",1.1593537189078582,1
GFCAT J0090940.2+545520.9,137.417631312031,54.92249403804708,1,--,--,--,0
GFCAT J0105333.5+583318.6,163.3897386585993,58.55518030597241,1,--,--,--,0
GFCAT J0123524.0+614130.7,188.85010304221726,61.691875656679954,2,SDSS J123523.73+614131.9,Star,2.2913244475463928,1
GFCAT J0122057.5+673837.1,185.23962168436984,67.64365397204146,1,2MASS J12205719+6738385,Star,2.858224808504671,1
GFCAT J0172400.2+604450.3,261.00116258115065,60.74732557142952,7,ZTF J172400.04+604451.8,WhiteDwarf_Candidate,1.9609692477375293,1
GFCAT J0124907.0-010422.5,192.27934823713235,-1.0729172787651158,1,V* BW Vir,RRLyrae,2.378439389058059,1
GFCAT J0165445.1+423225.6,253.68820525516907,42.54046164691219,2,RX J1654.7+4232,BYDraV*,1.4349340837344282,1
GFCAT J0170001.3+390929.5,255.0055166683312,39.15821371611797,1,ATO J255.0049+39.1586,"PulsV*, WhiteDwarf_Candidate",2.28416385371003,2
GFCAT J0164552.5+422605.9,251.46912986727543,42.43499270018896,1,--,--,--,0
GFCAT J0143813.4+055022.3,219.55623233099988,5.839529719241848,1,LINEAR 12273655,Type2Cep,2.106056152717164,1
GFCAT J0163809.2+411454.9,249.5384672258969,41.24859346301136,1,--,--,--,0
GFCAT J0144738.6+035311.9,221.91092943058604,3.886649587751672,1,SDSS J144738.47+035312.1,HighPM*,2.3564736180399017,1
GFCAT J0152012.2+032502.6,230.0509986754384,3.4174081616278347,1,NSVS  13425720,RRLyrae,2.1288994068403433,1
GFCAT J0143741.3+344117.5,219.4223222429153,34.68820017429665,1,2MASS J14374070+3441282,AGN,13.084421071851791,1
GFCAT J0143753.8+345922.5,219.47448768493817,34.98961029007114,19,V* LQ Boo,RRLyrae,1.4118393812062058,1
GFCAT J0135322.5+021641.3,208.34382075724395,2.278145832434131,1,--,--,--,0
GFCAT J0142551.3+042947.6,216.463881107048,4.496566223646741,1,SDSS J142551.18+042948.7,Star,2.608681450910818,1
GFCAT J0145444.4+592753.0,223.68514294264247,59.46472239236574,1,2MASS J14544424+5927538,Low-Mass*,1.6444257887267866,1
GFCAT J0214016.8+130620.5,325.0702901156665,13.105718011858936,1,--,--,--,0
GFCAT J0205045.9-001516.7,312.6915053574669,-0.2546556411255166,1,--,--,--,0
GFCAT J0204509.6-005557.8,311.2900129682188,0.9327439923776316,1,--,--,--,0
GFCAT J0165239.3+345744.0,253.16402383699284,34.96224247264466,2,XDEEP2 F2-0306,"Galaxy, QSO, X, AGN, Star",1.9838880557967762,3
GFCAT J0214116.1-235411.7,325.3171964766003,-23.903253550978388,1,--,--,--,0
GFCAT J0214205.4-235444.0,325.5225294241658,-23.912224026356665,1,--,--,--,0
GFCAT J0215053.7-055319.9,327.72410720495895,-5.888872310845448,4,2MASS J21505366-0553186,Star,1.897914321731545,1
GFCAT J0213901.3-240933.0,324.75569950747,-24.15917143815341,1,L  714-88,HighPM*,7.30370084121927,1
GFCAT J0215300.1-293616.4,328.2506036533839,-29.604561349036228,1,--,--,--,0
GFCAT J0170055.5+354949.6,255.23139738096867,35.830445642596935,1,SDSS J170055.38+354951.0,WhiteDwarf,2.382707244361036,1
GFCAT J0170353.0+321145.0,255.9708369263361,32.19583947200172,1,LP  331-57 B,"SB*, HighPM*, Star",0.9487104588324854,4
GFCAT J0160609.0+530519.2,241.5377369484825,53.08868957842053,1,GUVV J160608.8+530519.0,delSctV*,2.2408253259126822,1
GFCAT J0161026.8+500553.0,242.61182543240955,50.09805932442589,1,SDSS J161026.65+500554.8,delSctV*,2.520440428573539,1
GFCAT J0164939.9+345817.7,252.41647004554886,34.971583947527336,6,V* HL Her,"Galaxy, GroupG, RRLyrae",2.075274689056875,3
GFCAT J0164943.8+342921.9,252.4328296713316,34.48942536015355,1,--,--,--,0
GFCAT J0165246.4+351311.4,253.19361488138023,35.2198351110235,6,ATO J253.1930+35.2200,"Galaxy, PulsV*",1.8782700617695156,1
GFCAT J0164742.0+345731.5,251.92507044821787,34.95877758251744,2,XDEEP2 F2-0066,"Galaxy, X, HighPM*, BrightestCG",1.5740044784041327,2
GFCAT J0164858.6+344837.7,252.24448211463908,34.81049641422135,1,XDEEP2 F2-0129,"Galaxy, X, Star",2.265133345113994,2
GFCAT J0163659.5+463449.0,249.24799423509145,46.58028132120383,1,--,--,--,0
GFCAT J0162555.6+495856.7,246.4820558536061,49.98242657594992,1,--,--,--,0
GFCAT J0171535.9+591036.5,258.899696288735,59.17682388612172,1,--,--,--,0
GFCAT J0174038.3+555208.0,265.15983318775466,55.868903668823904,1,--,--,--,0
GFCAT J0204009.3-005215.9,310.03909892053315,-0.8710974783918052,4,V* AE Aqr,"CataclyV*, Low-Mass*, Star",2.8129139373509724,1
GFCAT J0204631.9-002451.6,311.63324411264733,0.4143532432296166,1,2MASS J20463188+0024525,Star,1.5961996866250117,1
GFCAT J0211848.2-001851.0,319.70111696478017,0.3141872490132777,1,PM J21188+0018B,"HighPM*, **",1.850473159808305,3
GFCAT J0220217.1-072244.6,330.57140824652606,-7.3790582869000225,1,UCAC4 414-141282,Star,1.4677441532864925,1
GFCAT J0222319.2-085246.8,335.8303070338318,-8.879690524816079,1,--,--,--,0
GFCAT J0223322.8-093654.7,338.34503138419524,-9.615219896368707,4,StKM 1-2018A,"HighPM*, **",1.4958378791955886,3
GFCAT J0214012.8-012251.1,325.053511081048,-1.3808875510195693,1,FASTT 1542,RRLyrae,2.42441288542199,1
