eclipse,obj_id,ra,dec,simbad_n_match,simbad_otype,simbad_main_id,simbad_distance,simbad_distance_err_2,simbad_distance_err_1,simbad_parallax,simbad_parallax_err,simbad_match_offset,obstart,datetime_iso,datetime_decimal,gaia_match_offset,gaia_n_match,gaia_dr3_source_id,gaia_distance,gaia_distance_err_2,gaia_distance_err_1,gaia_parallax,gaia_parallax_err,gaia_parallax_over_err,pmra,pmdec,gaia_ra,gaia_dec,distance,distance_err_1,distance_err_2,cps_min_NUV,cps_min_err_NUV,mag_min_NUV,mag_min_err_NUV,cps_max_NUV,cps_max_err_NUV,mag_max_NUV,mag_max_err_NUV,cps_mean_NUV,cps_mean_err_NUV,mag_mean_NUV,mag_mean_err_NUV,tstart_NUV,tstop_NUV,expt_raw_NUV,cps_min_FUV,cps_min_err_FUV,mag_min_FUV,mag_min_err_FUV,cps_max_FUV,cps_max_err_FUV,mag_max_FUV,mag_max_err_FUV,cps_mean_FUV,cps_mean_err_FUV,mag_mean_FUV,mag_mean_err_FUV,tstart_FUV,tstop_FUV,expt_raw_FUV,ratio_min,ratio_min_err,ratio_max,ratio_max_err,ratio_at_nuv_max,ratio_at_nuv_max_err,expt_eff_NUV,counts_9,counts_12_5,counts_17_5,counts_25,counts_35,skybg_counts_NUV,skybg_counts_err_NUV,skybg_flux_NUV,skybg_flux_err_NUV,expt_eff_FUV,skybg_counts_FUV,skybg_counts_err_FUV,skybg_flux_FUV,skybg_flux_err_FUV,morphology,qa_flag_nuv,qa_flag_fuv
32725,--,217.21539584959035,49.90229883777399,2,"X, blue",GALEX 2685880428793954899,--,--,--,--,--,2.029390724688142,929196131,2009-06-16T10:02:11,2009.4559402585933,2.0285089465336514,2,1.6036626542816404e+18,-4836.173744356305,-23191.848193800906,-2699.5546348463517,-0.20677503598107394,0.26125410199165344,-0.7914709448814392,0.10675444911536307,0.11080818873342728,217.21465894086242,49.902602522165864,-4836.173744356305,-2699.5546348463517,-23191.848193800906,0.781648622063872,0.5319669607480606,20.347471083441796,0.563641812541249,3.105477659415407,0.33513962459499996,18.84967897672673,0.11126989346772831,2.2931192172543935,0.04133469650544091,19.178933415235957,0.019396676765772725,929196123.0,929197743.0,1620.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1342.1378600781266,2202.425090165844,2507.3631248746165,3077.6821191498398,4409.2818551164,6908.150994930193,1275.4644567799567,25.51506058157488,2.627456780966711e-13,1.405877188515978e-14,--,--,--,--,--,E,0,0
31289,1156931289.0,187.86349324239163,0.6922340172880512,1,WhiteDwarf,SDSS J123127.15+004133.1,1155.4015020219526,529.5017815449825,-6346.475458899704,0.8655,0.732200026512146,1.7336489526536334,920701301,2009-03-10T02:21:41,2009.186570966356,1.792388230440618,1,3.6969884869620977e+18,1155.4320734121088,529.5059381263259,-6345.228095328746,0.8654770998756318,0.7321555018424988,1.1820945739746094,-4.846582192099287,-0.5351362623803991,187.86308138967212,0.6925138247147941,1155.4320734121088,-6345.228095328746,529.5059381263259,1.649440421659064,0.24874718875141888,19.536658416744004,0.1525062527511345,4.047130361759133,0.3904543100769916,18.562132015904687,0.09999864777263667,3.1226503382740627,0.04640544598651926,18.84369160895693,0.016016319100021548,920701293.0,920702973.0,1680.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1450.0582704146593,3052.0254897072027,3589.239901826374,4528.02494862744,6545.000228313864,10351.102356832023,1942.697961431144,31.489449309472104,4.0019578005481564e-13,1.724802603085068e-14,--,--,--,--,--,E,0,0
9225,154809225.0,160.98728560574625,58.12504939282509,2,"CataclyV*, Star",V* IY UMa,182.04656751196956,2.2066250927519206,-2.2614480772375884,5.4931,0.0674000009894371,2.353931254964707,790160437,2005-01-19T04:00:37,2005.0497728943112,2.9288333243776807,2,8.551675409886153e+17,182.04816200505016,2.208216817139885,-2.263119413159444,5.493051887951823,0.06744802743196487,81.44125366210938,-61.04462126406103,-19.888285159403083,160.98593954008894,58.125445168237235,182.04816200505016,-2.263119413159444,2.208216817139885,3.873987680757538,0.3793798572005243,18.609604411667156,0.10143669211223738,12.540197520456987,0.6795176064165859,17.33423905721442,0.05729429868910785,10.2604711218626,0.08167944129436708,17.552081744033263,0.008608884109630566,790160430.0,790162140.0,1710.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1537.9484741483311,14098.362206119755,14779.191728308278,15780.075905911604,17560.467590589138,20766.641333938493,1636.4845148345664,28.90136624994529,3.371158100559207e-13,2.2380632965774305e-14,--,--,--,--,--,E,0,0
25607,1401425607.0,169.31686075649233,17.961370970600345,2,"CataclyV*, Planet",NAME DP Leo b,305.0547573289406,26.433375109761755,-31.974664148064164,3.2781,0.3109999895095825,1.9035943226280907,887086952,2008-02-15T00:02:32,2008.1229556578564,2.3265574557244237,1,3.971777500966832e+18,317.5289001855741,23.61442776984171,-27.740518090156797,3.1493196348917145,0.2530306875705719,12.446393966674805,-28.90772515708945,-2.0777335068026055,169.31621489490803,17.961571447125664,317.5289001855741,-27.740518090156797,23.61442776984171,0.9394723885718782,0.18584173664070255,20.147789948613497,0.1959743742960356,7.709393619785778,0.5842728740605626,17.862449449793964,0.07931586845561611,4.675851670838804,0.0714292211328221,18.405348185369782,0.016460508516644268,887086949.0,887087939.0,990.0,0.06557268024288142,0.04691430533770334,21.778192661128664,0.5859483579695635,2.552072027148309,0.29273910570460454,17.802767681703568,0.11790127884542301,1.2795064664745366,0.035714106735202124,18.5523937872456,0.02989027139122058,887086949.0,887087939.0,990.0,0.2164956753627718,0.15757301851713784,2.648982914543689,0.363122126706374,2.648982914543689,0.363122126706374,916.450255603038,1194.434477583327,1235.3058977445842,1283.5281139862802,1377.1031115225937,1548.719468756798,1010.7713124902361,22.71375187157679,2.0821889037298864e-13,1.4001965964744092e-14,1003.1431240225187,87.59584900495845,6.686582180976134,1.2263418860694186e-13,4.0716252949867525e-14,E,0,0
9900,778109900.0,135.0967766877129,43.80345314756907,1,blue,US 2112,634.9609499015811,71.58066969463937,-92.41758035666953,1.5749,0.20010000467300415,2.1715181696061756,794154802,2005-03-06T09:33:22,2005.1764333775684,2.1643826080609267,1,1.0092426207851387e+18,634.9458702488181,71.57800058670045,-92.41377004905996,1.5749374031019796,0.20010170340538025,7.87068510055542,-0.03805084494318117,-0.9406727568694768,135.0960418270748,43.803736307021126,634.9458702488181,-92.41377004905996,71.57800058670045,0.9439258213342235,0.1866885780572483,20.142655333775526,0.19594161450112324,15.546791037723867,0.7568007640925,17.100898096725825,0.05160632980130231,10.339817429874115,0.08357943108936744,17.54371782377691,0.00874100735766703,794154795.0,794156415.0,1620.0,0.037006097783508315,0.03525196463372869,22.399316769864104,0.726532549576266,6.950135656747259,0.483344340431929,16.715016796293853,0.07299723908950995,4.760277231094721,0.055072697744372304,17.12591938478037,0.01248901615339193,794154795.0,794156415.0,1620.0,0.1570592431652928,0.15029856149353044,3.9146221534580063,0.3536374352007938,3.710561332091593,0.32689996499545654,1480.178355202333,7160.228696332688,7298.778208138717,7471.224562864307,7724.0406752533145,8081.471439193216,1687.735500342559,29.350440001809986,3.4767351307056714e-13,2.2351398075346426e-14,1629.0649102408693,182.43861909432457,9.649855534120439,2.554140667320544e-13,9.006900130058083e-14,E,0,0
33838,2634333838.0,11.441876767934406,41.8412581044871,5,"**, Cepheid, ClassicalCep, Cluster*, Star, Variable*",Gaia DR2 375297888752001664,--,--,--,--,--,1.3763820142874053,935780531,2009-08-31T15:02:11,2009.6647302129315,1.3553647911964006,4,3.7529788875200166e+17,296.11342204876297,12.565295009524164,-13.730583876673222,3.3770843384307088,0.149653822183609,22.565975189208984,53.94970032059266,-12.709857255659237,11.441566558100563,41.841555317534684,296.11342204876297,-13.730583876673222,12.565295009524164,5.44899146225419,0.4857062593520748,18.239209681422878,0.09270619007838476,15.53976720777664,0.8205885334876987,17.101388728499167,0.05587058545423673,9.587044376176491,0.08563667631216279,17.625788155942292,0.009655324841205015,935780523.0,935782203.0,1680.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1307.2695066906285,6012.458747908323,8227.758964162806,12532.850772265409,21185.74383895527,36831.84083921411,7986.028677215448,63.84514184594407,1.6451219075063822e-12,3.3228179359721047e-14,--,--,--,--,--,E,0,0
11840,1236511840.0,255.5557571551041,32.498034580959285,1,CataclyV*,V* V1239 Her,302.4437454633438,7.197214690096189,-7.556874626107856,3.3064,0.08060000091791153,2.1126603531493067,805634147,2005-07-17T07:15:47,2005.5405551748795,1.6691198892830386,1,1.3135385454462907e+18,302.4449237973125,7.196684925314628,-7.5562891225816315,3.3063871181721773,0.0805932879447937,41.02558898925781,20.968636015754818,-18.372219578747476,255.55530323117085,32.49829610934214,302.4449237973125,-7.5562891225816315,7.196684925314628,0.9401294465879418,0.213889191688282,20.147030860499854,0.22256291815387996,5.389910289877169,0.44810813834573865,18.251046157968005,0.08670981182602233,3.7521761119698738,0.05304054867698383,18.644291964470604,0.015240438422733149,805634142.0,805635642.0,1500.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1333.7277835424172,3837.5180014861003,4339.60163420183,5004.381529278385,6326.427189185197,8806.070742186885,1265.6513968446116,25.416718260614157,2.6072418774998996e-13,1.5383879273335396e-14,--,--,--,--,--,E,0,0
5421,1457905421.0,261.00105415513724,60.74728285356775,1,WhiteDwarf_Candidate,ZTF J172400.04+604451.8,689.2273761113792,167.27946748704142,-325.0742808796192,1.4509,0.4650000035762787,2.184820104490024,767649678,2004-05-03T16:01:18,2004.3378895654664,2.126677859742575,1,1.4389192536789192e+18,689.2136838203716,167.2806341106035,-325.08477877529003,1.4509288243624427,0.46502572298049927,3.1201043128967285,6.361291197140334,0.8495741239337309,261.0002640462601,60.74772996623039,689.2136838203716,-325.08477877529003,167.2806341106035,0.8506245116717595,0.17929362454027065,20.25565526693293,0.2076620315979909,3.225093046797624,0.34867834976159023,18.808644377666486,0.11146129902216018,2.0950779640019443,0.04217673045158244,19.276999527560655,0.021640226752641212,767649671.0,767650991.0,1320.0,0.06429928800931918,0.04668778923979839,21.799484590058643,0.592665626977567,0.9922466586962343,0.21940241075803008,18.82845088716747,0.2168930199355863,0.4936724147414021,0.019409760834668163,19.586402848653094,0.04187016757855844,767649671.0,767650991.0,1320.0,0.25878033863233774,0.19183742370250365,3.1804434468360814,0.8680658624672803,3.1804434468360814,0.8680658624672803,1177.7534056674979,468.20790426402533,530.2421339474371,646.9003005445243,877.0190163635474,1344.9012051138952,1546.4148952366318,28.094767059193856,3.1856146841874617e-13,1.4554810073075755e-14,1310.3837306432983,238.8148671746567,11.040610873213993,3.343408140445194e-13,4.1935926376670585e-14,E,0,0
38760,1358838760.0,322.4371971549707,0.6068900163588036,0,Low-Mass*,SDSS J212946.51+003628.3,23041.47465437788,20825.653720103677,25784.958837352133,0.0434,0.40790000557899475,24.08794024702342,964896620,2010-08-03T14:50:20,2010.587995338502,1.8433048219832961,2,2.6879952190940897e+18,801.9234708010233,18.601411487552355,-19.506349808004416,1.2470017855957283,0.029612332582473755,42.11089324951172,8.384569793840557,-2.081501147453748,322.4369091043568,0.6073133483515253,801.9234708010233,-19.506349808004416,18.601411487552355,1.075085892492417,0.20140176519206152,20.00139209252133,0.1864336424765085,4.057497711751337,0.5070589183023716,18.559354291061194,0.12785078983750253,1.6846332452161212,0.03635585488811594,19.51373658255379,0.023181881877089694,964896617.0,964898057.0,1440.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1274.549316417361,919.6867698461796,1363.3657756279626,2147.1481511041684,3907.5483270324294,7198.384439902633,1679.6975992774996,29.28046532470452,3.4601770545116493e-13,1.4860450279640658e-14,--,--,--,--,--,E,0,0
13484,1834913484.0,19.60260643169402,34.75109810928595,0,GtowardsCl,DES J011826.25+344522.0,--,--,--,--,--,26.976591159087427,815361944,2005-11-06T20:25:44,2005.8489074389583,1.4022441064310973,1,3.202090190113294e+17,712.5450099674703,173.7728167938027,-339.23606857221523,1.4034201152368646,0.4526519179344177,3.10044002532959,4.23701309818025,-8.87105343827862,19.60213956218577,34.751165736267374,712.5450099674703,-339.23606857221523,173.7728167938027,1.1217714796849134,0.20686299551641027,19.955239014606853,0.18375280775086722,3.6970466526071784,0.3752016869427064,18.660362672700295,0.10494830992644921,2.3874948531807725,0.045921786591817566,19.13514388992347,0.02068507353597937,815361938.0,815363228.0,1290.0,0.0,0.0,inf,--,1.1183228861820087,0.19460966952794698,18.698581968222243,0.1741880114822898,0.5310052827209522,0.021090398174279844,19.507252895765504,0.04228876981624552,815361938.0,815363228.0,1290.0,0.4341181591970016,0.28480859895828786,3.107412062605094,0.6654258286866549,2.542515592211844,0.5630780180303663,1132.152401336802,498.33927615031746,555.5950790554805,663.5298513505642,879.1487404568525,1265.9205103273152,1528.6828914952548,27.933227988676308,3.149086756480225e-13,1.4788032536011084e-14,1246.5332712652757,197.41475753804872,10.038116481361383,2.763806605532682e-13,4.0021108777862403e-14,E,0,0
