Table 1
Target Early M Stars Observed by GALEX

Name	R.A._J2000	Decl._J2000	SpT	J_2MASS	Dist.^a	Bin.^b	Bin. Sep.^c	F_FUV	F_NUV	References.^d
(deg)	(deg)	(mag)	(pc)	Type	(")	(muJy)	(muJy)
TW Hydra Association, 10 Myr old
02543316-5108313	43.638180	-51.142050	M1.4	8.7	-27.3	 ... 	 ... 	20.44 +or- 3.32	83.31 +or- 4.52	15
00273330-6157169	6.888760	-61.954720	M3.5	10.3	-33.9	 ... 	 ... 	<5.00	20.07 +or- 3.38	15
00152752-6414545	3.864670	-64.248500	M1.5	9.3	-36.3	 ... 	 ... 	13.26 +or- 3.27	39.69 +or- 4.51	15
22223966-6303258	335.665290	-63.057180	M3.2	10.2	-35.3	 ... 	 ... 	4.77 +or- 2.25	23.28 +or- 3.81	15
02242453-7033211	36.102240	-70.555890	M4.0	10.4	-28.3	 ... 	 ... 	<3.00	13.53 +or- 1.65	15
03291649-3702502	52.318740	-37.047280	M3.7	10.7	-36.1	 ... 	 ... 	2.63 +or- 1.59	11.79 +or- 3.10	15
00493566-6347416	12.398610	-63.794900	M1.8	9.3	-33.6	 ... 	 ... 	9.04 +or- 2.76	46.93 +or- 3.59	15
23291752-6749598	352.323020	-67.833300	M3.9	10.8	-35.6	 ... 	 ... 	3.08 +or- 1.46	9.64 +or- 1.36	15
02502222-6545552	42.592620	-65.765360	M2.8	10.3	-42.1	 ... 	 ... 	2.87 +or- 2.07	17.07 +or- 2.36	15
02070176-4406380	31.757340	-44.110570	M1.2	9.3	-37.5	 ... 	 ... 	7.86 +or- 1.97	53.39 +or- 2.84	15
04133609-4413325	63.400410	-44.225700	M3.3	10.77	-44.5	 ... 	 ... 	<5.00	12.63 +or- 3.21	15
21143354-4213528	318.639790	-42.231350	M4.1	11.4	-43.5	 ... 	 ... 	<5.00	7.34 +or- 1.27	15
00235732-5531435	5.988860	-55.528770	M4.0	11.1	-40.4	 ... 	 ... 	<5.00	8.77 +or- 2.61	15
