Table 1
Target Early M Stars Observed by GALEX

Name	R.A._J2000	Decl._J2000	SpT	J_2MASS	Dist.^a	Bin.^b	Bin. Sep.^c	F_FUV	F_NUV	References.^d
(deg)	(deg)	(mag)	(pc)	Type	(")	(muJy)	(muJy)
TW Hydra Association, 10 Myr old
Gl 725 B	280.695694	+59.626763	M3.5	5.7	3.5	VB	13.3	<3.00	36.07 +or- 3.69	24, 25
Gl 729	282.455676	-23.836230	M3.5	6.2	3.0	 ... 	 ... 	67.53 +or- 6.15	290.53 +or- 7.53	24
Gl 745 A	286.773180	+20.888046	M1.5	7.3	8.5	VB	114.2	<5.00	15.57 +or- 3.00	24, 25
Gl 745 B	286.805013	+20.877011	M2.0	7.3	8.8	VB	114.2	<5.00	16.73 +or- 3.12	24, 25
Gl 793	307.633520	+65.449558	M2.5	6.7	8.0	 ... 	 ... 	<5.00	78.55 +or- 5.13	24
Gl 809	313.332460	+62.15439	M0.5	5.4	7.1	 ... 	 ... 	Not. Obs.	349.48 +or- 9.95	24
Gl 829	322.403384	+17.643293	M3.5	6.2	6.7	 ... 	 ... 	<5.00	40.20 +or- 3.15	24
Gl 832	323.391564	-49.009005	M1.5	5.3	5.0	 ... 	 ... 	20.85 +or- 2.98	176.59 +or- 5.32	24
GJ 4248	330.622304	-37.080894	M3.5	7.6	7.5	 ... 	 ... 	Not. Obs.	13.27 +or- 3.60	24
Gl 867 AabC	339.689894	-20.621134	M1.5	5.7	8.7	SB+VB	24.5	234.46 +or- 10.69	1303.88 +or- 15.04	24, 27
Gl 877	343.939623	-75.458669	M2.5	6.6	8.6	 ... 	 ... 	5.25 +or- 1.81	42.24 +or- 2.97	24
Gl 880	344.145020	+16.553432	M1.5	5.4	6.8	 ... 	 ... 	15.23 +or- 3.30	347.39 +or- 8.22	24
Gl 908	357.302200	+02.401224	M1.0	5.8	6.0	 ... 	 ... 	13.55 +or- 2.40	130.30 +or- 5.16	24

Notes.
a Distances are from Hipparcos (Perryman & ESA 1997). Those with negative signs in front are photometric distances based on Baraffe et al. (1998) models. Hyades members without individual Hipparcos measurements are assumed to have the cluster distance of 46.34 +or- 0.27 pc from Perryman et al. (1998).
b VB = visual binary and SB = spectroscopic binary.
c Binaries with separations <35" are not resolved by GALEX.
d References for group members and binarity, e.g. X, Y. These are: 1: de la Reza et al. (1989), 2: Brandeker et al. (2003), 3: Zuckerman & Song (2004), 4: Sterzik et al. (1999), 5: Gregorio-Hetem et al. (1992), 6: Torres et al. (2006), 7: Webb et al. (1999), 8: Shkolnik et al. (2011), 9: Song et al. (2003), 10: Reid (2003), 11: Jayawardhana et al. (2006), 12: Zuckerman et al. (2001), 13: Looper et al. (2010), 14: Shkolnik et al. (2012), 15: Kraus et al. (2014), 16: Montes et al. (2001), 17: Zuckerman et al. (2004), 18: Malo et al. (2013), 19: Lopez-Santiago et al. (2006), 20: Bowler et al. (2012), 21: Ammler-von Eiff & Guenther (2009), 22: Perryman et al. (1998), 23: Guenther et al. (2005), 24: Lepine & Gaidos (2011), 25: Poveda et al. (1994), 26: Riedel et al. (2014), 27: Pourbaix et al. (2004).
d TWA 31 and TWA 30 B are both known to be accretors from Shkolnik et al. (2011) and Looper et al. (2010), respectively. TWA 30 B's J-band flux is also extincted, and thus is not included in the analysis.
